voice,L,R,sprectral_std,sprectral_q75,librosa_rms_mean,librosa_chroma_std,sprectral_peak,sprectral_kurtosis,audio_zcr,librosa_tonnetz_mean,librosa_mfccs_mean,f0_mean_der,librosa_centroid_mean,librosa_centroid_std,sprectral_skew_old,positive,sprectral_skew,sprectral_iqr,sprectral_mode,sprectral_median,audio_entropy,loudness_std,librosa_chroma_mean,negative,librosa_spec_bw_mean,loudness_mean,sprectral_magic,sprectral_nobs,librosa_flatness_mean,f0_mean,librosa_tonnetz_std,librosa_rms_std,audio_rmse,f0_std,sprectral_low,librosa_mfccs_std,librosa_flatness_std,neutral,librosa_spec_bw_std,librosa_chroma_cens_mean,librosa_chroma_cens_std,sprectral_q25,temp_letters,loudness_mean_der,sprectral_mean,temp_words
pool_31406799_14-02-2022_13-22-34/assignment_0001df3acf--61f7b5f9fcdbd802ca5d5daf/ru.3425f070-5bd8-4dba-9b5c-55fab3607874.wav,1516166,1676166,51.06983987074406,235.0,0.043321237,0.33123744,265.0,0.1097019367414668,0.2104164586661341,0.0122469846698838,-22.094566,0.10130052,2986.190252269879,1221.4434687461778,5.055208086260149,0.010188525,-1.2198713199574782,27.5,220.0,220.0,10.459756,11.469857,0.30781424,0.008593872,2470.4314479968843,-10.31391,5706.25,23,0.060110934,5.0720935,0.1362364565328677,0.026393741,0.050720442,0.41476116,100.0,66.760124,0.09270016,0.9812176,321.9017292130871,0.2415546130488597,0.158065499866824,207.5,105,11.443196,203.0434782608696,19
pool_31406799_14-02-2022_13-22-34/assignment_0001df3acf--61fa2ba3c63956136208f6fc/ru.242793e5-430c-4982-8ddc-3c02e7654d2e.wav,1853824,2013824,39.38919705900558,232.5,0.020665925,0.3292618,280.0,-0.4519607348989982,0.1889289636581469,0.0130405791603428,-24.932133,0.07015793,2478.7685903804345,1238.8471210224466,4.870221593097998,0.020234488,0.0618654566057108,42.5,140.0,200.0,10.072672,10.999615,0.31743202,0.03885113,2189.0317688612395,-18.115246,8075.0,31,0.06374584,5.3020167,0.1361588190252897,0.018303484,0.027628046,0.20248722,140.0,80.38975,0.08598634,0.9409144000000002,455.34169247682576,0.2438290991478565,0.1545338271773468,190.0,101,10.279043,205.32258064516128,18
pool_31406799_14-02-2022_13-22-34/assignment_0001df3acf--61f7b5f9fcdbd802ca5d5daf/ru.3425f070-5bd8-4dba-9b5c-55fab3607874.wav,1819217,1979217,62.53089973405224,235.0,0.041315462,0.3328468,270.0,-1.3723335383636388,0.2279774236222044,0.0062019905488389,-22.190388,0.14350088,3028.4780777525634,1332.1789590401731,4.841539644438278,0.0015045151,-0.5185104230841162,135.0,100.0,220.0,10.505222,11.948918,0.32317206,0.0011303945,2385.431013887888,-12.744263,13500.0,23,0.0694563,4.9728928,0.1203752767391313,0.028966531,0.05027124,0.381228,100.0,72.108116,0.09459549,0.9973651,352.12928479614646,0.2510573669154712,0.1424904623152154,100.0,97,10.346087,189.1304347826087,18
pool_31406799_14-02-2022_13-22-34/assignment_0001df3acf--61f7b95d01c201589b7e6701/ru.7e030b40-2468-460c-b975-fefd89caf6c8.wav,1921594,2081594,40.2951424629739,167.5,0.041479588,0.3223278,230.0,-1.254417506963016,0.0753341528554313,0.0368371476710905,-12.8227215,0.107181795,1403.6112962224138,1010.0588046837348,8.380585316719085,0.1582579085963277,0.0782356368196307,67.5,100.0,160.0,10.350712,12.662895,0.267805,0.0039254974638188,1573.0718263934652,-13.650812,6750.0,47,0.0134393005,4.8286934,0.1339672547424755,0.03273027,0.052867863,0.24336964,100.0,81.679146,0.030224208,0.8378166218348595,404.25095141298937,0.2130710691226025,0.1947666625382395,100.0,92,8.989899,146.70212765957447,19
pool_31406799_14-02-2022_13-22-34/assignment_0001df3acf--61f7c19d455b912f21e657e9/ru.145105f3-0e0b-4cb1-a9cf-7ff3d23b00a8.wav,670108,830108,56.00807764871744,173.75000000000003,0.021945834,0.34600756,215.0,0.4449197599098404,0.1646178614217252,0.0114004412469667,-18.646076,0.059241552,2325.6241323444883,1115.8294954589462,8.12030818034362,0.2478301399999999,-1.320391000270703,22.50000000000003,155.0,162.5,10.384713,15.241195,0.3688157,0.0064721787,2139.273835493702,-22.163704,3403.125000000004,42,0.05529481,5.051454,0.1243333244385381,0.017620236,0.028166752,0.1521872,25.0,95.182274,0.07113889,0.7456977,358.4489265066524,0.239068156327975,0.1618015758986178,151.25,83,11.652373,145.0,14
pool_31406799_14-02-2022_13-22-34/assignment_0001df3acf--61f776f9e6f0a56bac17ea01/ru.b57fa39e-6bd4-48fd-9d07-b8ed2e572564.wav,118224,278224,32.264737928727506,223.75,0.0048538274,0.3268991,265.0,-0.6271601607600625,0.1550675169728434,-0.0029063925249692,-22.752327,0.071778506,2007.81485331028,994.0641775488511,6.0161208377581135,0.0018836765999999,0.2507482639832831,42.5,195.0,195.0,10.5239,10.958713,0.3226731,0.0014517773,1831.895588172223,-29.28229,7703.125,26,0.05107023,5.17225,0.130270441537962,0.0030407913,0.00573159,0.23416713,140.0,110.8146,0.070775315,0.9966646,342.8232815013275,0.2502153055091448,0.1439640032171189,181.25,89,11.059375,199.42307692307693,16
pool_31406799_14-02-2022_13-22-34/assignment_0001df3acf--61f7b714e30a0472b0331e54/ru.8d998389-4e2d-4f0c-a4c4-7bd86b609cff.wav,1175454,1335454,52.086666560006826,235.00000000000003,0.03835795,0.3312427,280.0,0.0548729824014659,0.1967305436301916,0.0098555376353381,-22.748528,0.10375839,2880.599785878836,1288.703380883095,4.570108650713938,0.001317087,-0.9582892185824288,41.25000000000003,100.0,212.5,10.487282,13.481731,0.314518,0.0038668333999999,2408.28786123889,-13.331528,7992.187500000005,24,0.06268794,5.017239,0.1306172188989216,0.02774626,0.04734372,0.3564585,100.0,74.90935,0.09179674,0.99481606,371.1523958015331,0.255696328694421,0.1339877637156764,193.75,112,12.165241,203.75,18
pool_31546723_14-02-2022_13-23-16/assignment_0001e15d63--62027298d07a844aec85d2ac/ru.6e5cb417-69fc-4a22-ab19-8d1ff49f7fcc.wav,2078855,2238855,7.5,286.25,0.044540204,0.31902325,290.0,-2.0,0.2263830995407348,-0.0031757041450674,-23.81983,0.08117851,2206.6235827684272,1451.780051341083,4.737657498277636,0.5565185089130668,0.0,7.5,275.0,282.5,9.429221,16.983807,0.34811813,0.0234513997997331,1520.665424423886,-11.574142,2090.625,2,0.051689338,5.4437833,0.1250540222470978,0.052714217,0.069052316,0.26383036,275.0,74.6168,0.078708805,0.4200301271983431,566.3203428299566,0.2651996525034538,0.1140284071860195,278.75,85,16.597376,282.5,19
pool_31546723_14-02-2022_13-23-16/assignment_0001e15d63--620242c3124339488efe6660/ru.1055644c-dd20-4167-99b5-9c9f3e84d0db.m4a,1126700,1286700,63.3070344609894,235.00000000000003,0.06858716,0.33162987,285.00000000000006,2.901801823664597,0.1083407173522364,0.0018828527519464,-10.29445,0.028670324,1687.6700353510255,880.9091080784124,5.539612403871142,0.2516922569070929,-1.933225956911784,45.00000000000003,235.00000000000003,212.5,10.49842,12.532725,0.30769914,0.0086018216177509,1659.019392182276,-6.476024,8550.000000000005,28,0.01440959,5.4381576,0.1244623628312752,0.046649266,0.08296179,0.13914017,25.0,67.152374,0.025630044,0.7397059307393269,390.0670124217999,0.2465199961360393,0.1502039441506796,190.0,84,8.830976,196.07142857142856,10
pool_31406799_14-02-2022_13-22-34/assignment_0001df3acf--61f6c9876883f87caa08f022/ru.5a7b73b0-6808-49ba-b316-366d62a68d87.mp3,1163751,1323751,22.58675639895756,185.0,0.035919096,0.3139214,245.0,0.5707823347586927,0.1140550119808306,-0.0086095047689032,-16.539202,0.12902632,1609.7047762709535,946.7590244966648,6.669339118929467,0.0077564374198718,1.2097066038012567,15.0,185.0,180.0,10.08082,15.054106,0.30605543,0.0028798827503817,1605.8023876759391,-21.270016,2550.0,42,0.018614758,5.243174,0.0892335726771492,0.039346803,0.053212322,0.28633767,155.0,93.93343,0.024605898,0.9893636745310752,497.8597180224539,0.2570558829551201,0.1313605967232827,170.0,58,15.199951,186.07142857142856,15
